Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
13036;Retie;N;13036;Retie;N;;;;;;;;;
13037;Rijkevorsel;N;13037;Rijkevorsel;N;;;;;;;;;
13040;Turnhout;N;13040;Turnhout;N;;;;;;;;;
13044;Vorselaar;N;13044;Vorselaar;N;;;;;;;;;
13046;Vosselaar;N;13046;Vosselaar;N;;;;;;;;;
13049;Westerlo;N;13049;Westerlo;N;;;;;;;;;
20001;Province du Brabant Flamand;;20001;Provincie Vlaams-Brabant;;;;;;;;;;
23000;Arrondissement de Hal-Vilvorde;;23000;Arrondissement Halle-Vilvoorde;;;;;;;;;;
23105;Affligem;N;23105;Affligem;N;;;;;;;;;
23002;Asse;N;23002;Asse;N;;;;;;;;;
23003;Beersel;N;23003;Beersel;N;;;;;;;;;
23009;Biévène;N;23009;Bever;N;;;;;;;;;
23016;Dilbeek;N;23016;Dilbeek;N;;;;;;;;;
23098;Drogenbos;N;23098;Drogenbos;N;;;;;;;;;
23023;Gammerages;N;23023;Galmaarden;N;;;;;;;;;
23024;Gooik;N;23024;Gooik;N;;;;;;;;;
23025;Grimbergen;N;23025;Grimbergen;N;;;;;;;;;
23027;Hal;N;23027;Halle;N;;;;;;;;;
23032;Herne;N;23032;Herne;N;;;;;;;;;
23033;Hoeilaart;N;23033;Hoeilaart;N;;;;;;;;;
23038;Kampenhout;N;23038;Kampenhout;N;;;;;;;;;
23039;Kapelle-op-den-Bos;N;23039;Kapelle-op-den-Bos;N;;;;;;;;;
23099;Kraainem;N;23099;Kraainem;N;;;;;;;;;
23104;Lennik;N;23104;Lennik;N;;;;;;;;;
23044;Liedekerke;N;23044;Liedekerke;N;;;;;;;;;
23100;Linkebeek;N;23100;Linkebeek;N;;;;;;;;;
23045;Londerzeel;N;23045;Londerzeel;N;;;;;;;;;
23047;Machelen;N;23047;Machelen;N;;;;;;;;;
23050;Meise;N;23050;Meise;N;;;;;;;;;
23052;Merchtem;N;23052;Merchtem;N;;;;;;;;;
23060;Opwijk;N;23060;Opwijk;N;;;;;;;;;
23062;Overijse;N;23062;Overijse;N;;;;;;;;;
23064;Pepingen;N;23064;Pepingen;N;;;;;;;;;
23101;Rhode-Saint-Genèse;N;23101;Sint-Genesius-Rode;N;;;;;;;;;
23097;Roosdaal;N;23097;Roosdaal;N;;;;;;;;;
23077;Sint-Pieters-Leeuw;N;23077;Sint-Pieters-Leeuw;N;;;;;;;;;
23081;Steenokkerzeel;N;23081;Steenokkerzeel;N;;;;;;;;;
23086;Ternat;N;23086;Ternat;N;;;;;;;;;
23088;Vilvorde;N;23088;Vilvoorde;N;;;;;;;;;
23102;Wemmel;N;23102;Wemmel;N;;;;;;;;;
23103;Wezembeek-Oppem;N;23103;Wezembeek-Oppem;N;;;;;;;;;
23094;Zaventem;N;23094;Zaventem;N;;;;;;;;;
23096;Zemst;N;23096;Zemst;N;;;;;;;;;
24000;Arrondissement de Louvain;;24000;Arrondissement Leuven;;;;;;;;;;
24001;Aarschot;N;24001;Aarschot;N;;;;;;;;;
24007;Begijnendijk;N;24007;Begijnendijk;N;;;;;;;;;
24008;Bekkevoort;N;24008;Bekkevoort;N;;;;;;;;;
24009;Bertem;N;24009;Bertem;N;;;;;;;;;
24011;Bierbeek;N;24011;Bierbeek;N;;;;;;;;;
24014;Boortmeerbeek;N;24014;Boortmeerbeek;N;;;;;;;;;
24016;Boutersem;N;24016;Boutersem;N;;;;;;;;;
24020;Diest;N;24020;Diest;N;;;;;;;;;
24028;Geetbets;N;24028;Geetbets;N;;;;;;;;;
24137;Glabbeek;N;24137;Glabbeek;N;;;;;;;;;
24033;Haacht;N;24033;Haacht;N;;;;;;;;;
24038;Herent;N;24038;Herent;N;;;;;;;;;
24041;Hoegaarden;N;24041;Hoegaarden;N;;;;;;;;;
24043;Holsbeek;N;24043;Holsbeek;N;;;;;;;;;
24045;Huldenberg;N;24045;Huldenberg;N;;;;;;;;;
24048;Keerbergen;N;24048;Keerbergen;N;;;;;;;;;
24054;Kortenaken;N;24054;Kortenaken;N;;;;;;;;;
24055;Kortenberg;N;24055;Kortenberg;N;;;;;;;;;
24059;Landen;N;24059;Landen;N;;;;;;;;;
