NIS code,Woonplaats,Mannen,Vrouwen,Totaal
24134,Scherpenheuvel-Zichem,11416,11662,23078
24135,Tielt-Winge,5389,5394,10783
24137,Glabbeek,2625,2696,5321
25000,Arrondissement Nijvel,197034,208985,406019
25005,Bevekom,3556,3649,7205
25014,Eigenbrakel,19334,20836,40170
25015,Kasteelbrakel,5117,5431,10548
25018,Chaumont-Gistoux,5694,5937,11631
25023,Court-Saint-Etienne,5189,5400,10589
25031,Genepiën,7662,7898,15560
25037,Graven,6793,7080,13873
25043,Incourt,2708,2814,5522
25044,Itter,3395,3562,6957
25048,Geldenaken,7028,7329,14357
25050,Terhulpen,3565,3877,7442
25068,Mont-Saint-Guibert,3905,3991,7896
25072,Nijvel,13671,15212,28883
25084,Perwijs (Nijvel),4601,4860,9461
25091,Rixensart,10789,11864,22653
25105,Tubeke,13006,13650,26656
25107,Villers-la-Ville,5348,5420,10768
25110,Waterloo,14441,15935,30376
25112,Waver,16658,18090,34748
25117,Chastre,3805,3880,7685
25118,Hélécine,1811,1833,3644
25119,Lasne,6967,7290,14257
25120,Orp-Jauche,4412,4569,8981
25121,Ottignies-Louvain-la-Neuve,15232,16084,31316
25122,Ramillies,3266,3282,6548
25123,Rebecq,5418,5516,10934
25124,Walhain,3663,3696,7359
30000,Provincie West-Vlaanderen,595359,605586,1200945
31000,Arrondissement Brugge,139169,143576,282745
31003,Beernem,8040,7777,15817
31004,Blankenberge,10106,10357,20463
31005,Brugge,57851,60805,118656
31006,Damme,5493,5526,11019
31012,Jabbeke,6894,6974,13868
31022,Oostkamp,11822,11983,23805
31033,Torhout,10248,10219,20467
31040,Zedelgem,11418,11434,22852
31042,Zuienkerke,1366,1343,2709
31043,Knokke-Heist,15931,17158,33089
32000,Arrondissement Diksmuide,25843,25853,51696
32003,Diksmuide,8416,8427,16843
32006,Houthulst,5067,5043,10110
32010,Koekelare,4363,4397,8760
32011,Kortemark,6343,6350,12693
32030,Lo-Reninge,1654,1636,3290
33000,Arrondissement Ieper,53235,53335,106570
33011,Ieper,17218,17777,34995
33016,Mesen,520,527,1047
33021,Poperinge,9786,9931,19717
33029,Wervik,9495,9414,18909
33037,Zonnebeke,6287,6211,12498
33039,Heuvelland,4075,3851,7926
33040,Langemark-Poelkapelle,3991,3834,7825
33041,Vleteren,1863,1790,3653
34000,Arrondissement Kortrijk,144761,147732,292493
34002,Anzegem,7426,7355,14781
34003,Avelgem,5035,5171,10206
34009,Deerlijk,5955,6123,12078
34013,Harelbeke,14281,14221,28502
34022,Kortrijk,38035,39074,77109
34023,Kuurne,6744,6932,13676
34025,Lendelede,2867,2920,5787
34027,Menen,16604,16936,33540
34040,Waregem,18897,19453,38350
34041,Wevelgem,15593,15986,31579
34042,Zwevegem,12320,12494,24814
34043,Spiere-Helkijn,1004,1067,2071
35000,Arrondissement Oostende,77908,79872,157780
35002,Bredene,9035,9106,18141
35005,Gistel,6046,6120,12166
35006,Ichtegem,7037,7004,14041
35011,Middelkerke,9727,9851,19578
35013,Oostende,35120,36527,71647
35014,Oudenburg,4744,4763,9507
35029,De Haan,6199,6501,12700
36000,Arrondissement Roeselare,76946,77548,154494
36006,Hooglede,5046,4927,9973
36007,Ingelmunster,5503,5628,11131
36008,Izegem,13918,14404,28322
36010,Ledegem,4822,4865,9687
36011,Lichtervelde,4516,4427,8943
36012,Moorslede,5681,5761,11442
36015,Roeselare,31668,31810,63478
36019,Staden,5792,5726,11518
37000,Arrondissement Tielt,46964,46464,93428
37002,Dentergem,4333,4279,8612
37007,Meulebeke,5450,5383,10833
37010,Oostrozebeke,3955,4001,7956
37011,Pittem,3397,3320,6717
37012,Ruiselede,2692,2676,5368
37015,Tielt (Tielt),10308,10295,20603
37017,Wielsbeke,4969,4864,9833
37018,Wingene,7329,7100,14429
37020,Ardooie,4531,4546,9077
38000,Arrondissement Veurne,30533,31206,61739
38002,Alveringem,2582,2411,4993
38008,De Panne,5501,5646,11147
38014,Koksijde,10764,11105,21869
38016,Nieuwpoort,5732,5904,11636
38025,Veurne,5954,6140,12094
40000,Provincie Oost-Vlaanderen,753499,771756,1525255
41000,Arrondissement Aalst,144327,149323,293650
41002,Aalst (Aalst),42903,44429,87332
41011,Denderleeuw,10092,10459,20551
41018,Geraardsbergen,16575,17074,33649
41024,Haaltert,9154,9428,18582
41027,Herzele,8996,9191,18187
41034,Lede,9320,9546,18866
41048,Ninove,19231,20020,39251
41063,Sint-Lievens-Houtem,5151,5249,10400
41081,Zottegem,12949,13737,26686
41082,Erpe-Mere,9956,10190,20146
42000,Arrondissement Dendermonde,99678,102733,202411
42003,Berlare,7427,7666,15093
42004,Buggenhout,7245,7417,14662
42006,Dendermonde,22402,23468,45870
42008,Hamme (Dendermonde),12318,12628,24946
42010,Laarne,6104,6257,12361
42011,Lebbeke,9630,9908,19538
42023,Waasmunster,5472,5461,10933
42025,Wetteren,12738,13283,26021
42026,Wichelen,5751,5898,11649
42028,Zele,10591,10747,21338
43000,Arrondissement Eeklo,42716,42976,85692
43002,Assenede,7065,7231,14296
43005,Eeklo,10486,10799,21285
43007,Kaprijke,3193,3243,6436
43010,Maldegem,11982,11976,23958
43014,Sint-Laureins,3450,3368,6818
43018,Zelzate,6540,6359,12899
44000,Arrondissement Gent,279539,284503,564042
44012,De Pinte,5221,5660,10881
44013,Destelbergen,9061,9467,18528
44019,Evergem,17581,18047,35628
44020,Gavere,6378,6525,12903
44021,Gent,131543,132384,263927
44034,Lochristi,11179,11431,22610
44040,Melle,5677,6134,11811
44043,Merelbeke,12154,12602,24756
44045,Moerbeke (Gent),3273,3297,6570
44048,Nazareth,5753,5949,11702
44052,Oosterzele,6854,6835,13689
44064,Sint-Martens-Latem,4041,4324,8365
44073,Wachtebeke,3828,3981,7809
44081,Zulte,7936,7855,15791
44083,Deinze,21566,22014,43580
44084,Aalter,14614,14568,29182
44085,Lievegem,12880,13430,26310
45000,Arrondissement Oudenaarde,61593,63017,124610
45035,Oudenaarde,15689,15923,31612
45041,Ronse,12918,13456,26374
45059,Brakel,7277,7526,14803
45060,Kluisbergen,3277,3300,6577
45061,Wortegem-Petegem,3217,3178,6395
45062,Horebeke,973,1049,2022
45063,Lierde,3308,3271,6579
45064,Maarkedal,3081,3257,6338
45065,Zwalm,4030,4137,8167
45068,Kruisem,7823,7920,15743
46000,Arrondissement Sint-Niklaas,125646,129204,254850
46003,Beveren (Sint-Niklaas),24237,24810,49047
46013,Kruibeke,8320,8526,16846
46014,Lokeren,20717,21327,42044
46020,Sint-Gillis-Waas,9693,9806,19499
46021,Sint-Niklaas (Sint-Niklaas),38468,40063,78531
46024,Stekene,9221,9466,18687
46025,Temse,14990,15206,30196
50000,Provincie Henegouwen,655724,691116,1346840
51000,Arrondissement Aat,62914,65554,128468
51004,Aat,14234,15260,29494
51008,Beloeil,6954,7106,14060
51009,Bernissart,5773,6079,11852
51012,Brugelette,1839,1885,3724
51014,Chièvres,3429,3496,6925
51017,Elzele,2958,3034,5992
51019,Vloesberg,1689,1744,3433
51065,Frasnes-lez-Anvaing,5839,5994,11833
51067,Edingen,6829,7232,14061
51068,Opzullik,4169,4179,8348
51069,Lessen,9201,9545,18746
52000,Arrondissement Charleroi,192791,204171,396962
52010,Chapelle-lez-Herlaimont,7100,7705,14805
52011,Charleroi,99022,103724,202746
52012,Châtelet,17190,18478,35668
52015,Courcelles,15132,16065,31197
52018,Farciennes,5463,5792,11255
52021,Fleurus,11176,11880,23056
52022,Fontaine-l’Evêque,8592,9246,17838
52025,Gerpinnes,6176,6632,12808
52048,Montigny-le-Tilleul,4775,5357,10132
52055,Pont-à-Celles,8391,8860,17251
52074,Aiseau-Presles,5186,5553,10739
52075,Les Bons Villers,4588,4879,9467
53000,Arrondissement Bergen,125294,133943,259237
53014,Boussu,9426,10420,19846
53020,Dour,7955,8557,16512
53028,Frameries,10409,11550,21959
53039,Hensies,3307,3542,6849
53044,Jurbeke,5129,5393,10522
53046,Lens,2252,2340,4592
53053,Bergen,46682,49205,95887
53065,Quaregnon,9103,9815,18918
53068,Quiévrain,3260,3486,6746
53070,Saint-Ghislain,11223,12205,23428
53082,Colfontaine,10027,10714,20741
53083,Honnelles,2563,2589,5152
53084,Quévy,3958,4127,8085
55000,Arrondissement Zinnik,51542,53637,105179
55004,’s Gravenbrakel,10872,11190,22062
55035,Le Roeulx,4303,4432,8735
55040,Zinnik,13757,14514,28271
55050,Ecaussinnes,5478,5724,11202
55085,Seneffe,5618,5862,11480
55086,Manage,11514,11915,23429
56000,Arrondissement Thuin,45124,46601,91725
56001,Anderlues,6051,6311,12362
56005,Beaumont,3596,3569,7165
56016,Chimay,4796,4930,9726
56022,Erquelinnes,4866,5120,9986
56029,Froidchapelle,2006,1987,3993
56044,Lobbes,2828,2990,5818
56049,Merbes-le-Château,2099,2113,4212
56051,Momignies,2690,2655,5345
56078,Thuin,7268,7435,14703
56086,Ham-sur-Heure-Nalinnes,6568,7053,13621
56088,Sivry-Rance,2356,2438,4794
57000,Arrondissement Doornik-Moeskroen,109513,114286,223799
57003,Antoing,3776,3938,7714
57018,Celles (Doornik),2816,2875,5691
57027,Estaimpuis,5190,5376,10566
57062,Pecq,2862,2899,5761
57064,Péruwelz,8385,8735,17120
57072,Rumes,2582,2638,5220
57081,Doornik,33886,35197,69083
57093,Brunehaut,4007,4082,8089
57094,Leuze-en-Hainaut,6755,7186,13941
57095,Mont-de-l’Enclus,1915,1874,3789
57096,Moeskroen,28521,30246,58767
57097,Komen-Waasten,8818,9240,18058
58000,Arrondissement La Louvière,68546,72924,141470
58001,La Louvière,39410,41728,81138
58002,Binche,16038,17410,33448
58003,Estinnes,3846,3913,7759
58004,Morlanwelz,9252,9873,19125
60000,Provincie Luik,543373,566427,1109800
61000,Arrondissement Hoei,55984,57885,113869
61003,Amay,7004,7402,14406
61010,Burdinne,1654,1643,3297
61012,Clavier,2274,2368,4642
61019,Ferrières,2534,2472,5006
61024,Hamoir,1926,1920,3846
61028,Héron,2719,2757,5476
61031,Hoei,10286,10952,21238
61039,Marchin,2681,2760,5441
61041,Modave,2121,2098,4219
61043,Nandrin,2814,2944,5758
61048,Ouffet,1371,1426,2797
61063,Verlaine,2133,2144,4277
61068,Villers-Le-Bouillet,3229,3364,6593
61072,Wanze,6751,6980,13731
61079,Anthisnes,2067,2131,4198
61080,Engis,3083,3126,6209
61081,Tinlot,1337,1398,2735
62000,Arrondissement Luik,305155,320610,625765
62003,Ans,13678,14920,28598
62006,Awans,4430,4813,9243
62009,Aywaille,6135,6259,12394
62011,Bitsingen,4435,4496,8931
62015,Beyne-Heusay,5719,6172,11891
62022,Chaudfontaine,9992,10863,20855
62026,Comblain-au-Pont,2612,2784,5396
62027,Dalhem,3710,3807,7517
62032,Esneux,6331,6684,13015
62038,Fléron,7733,8637,16370
62051,Herstal,19456,20734,40190
62060,Juprelle,4691,4744,9435
62063,Luik,97673,99544,197217
62079,Oupeye,12349,13095,25444
62093,Saint-Nicolas (Luik),11692,12637,24329
62096,Seraing,30961,33231,64192
62099,Soumagne,8282,8758,17040
62100,Sprimont,7201,7708,14909
62108,Wezet,8654,9272,17926
62118,Grâce-Hollogne,11218,11605,22823
62119,Blegny,6567,6820,13387
62120,Flémalle,12698,13691,26389
62121,Neupré,4878,5099,9977
62122,Trooz,4060,4237,8297
63000,Arrondissement Verviers,142245,146032,288277
63001,Amel,2821,2665,5486
63003,Aubel,2080,2166,4246
63004,Baelen,2250,2237,4487
63012,Büllingen,2811,2645,5456
63013,Bütgenbach,2846,2783,5629
63020,Dison,7516,7739,15255
63023,Eupen,9679,10083,19762
63035,Herve,8558,9062,17620
63038,Jalhay,4349,4379,8728
63040,Kelmis,5498,5714,11212
63045,Lierneux,1803,1772,3575
63046,Limburg,2925,2980,5905
63048,Lontzen,2913,2920,5833
63049,Malmedy,6183,6614,12797
63057,Olne,2026,2010,4036
63058,Pepinster,4750,4943,9693
63061,Raeren,5346,5472,10818
63067,Sankt Vith,4899,4880,9779
63072,Spa,4912,5237,10149
63073,Stavelot,3583,3570,7153
63075,Stoumont,1580,1594,3174
63076,Theux,5856,6156,12012
63079,Verviers,26985,28305,55290
63080,Weismes,3744,3635,7379
63084,Welkenraedt,4934,5134,10068
63086,Trois-Ponts,1273,1280,2553
63087,Burg-Reuland,2018,1956,3974
63088,Plombières,5254,5273,10527
63089,Thimister-Clermont,2853,2828,5681
64000,Arrondissement Borgworm,39989,41900,81889
64008,Berloz,1580,1555,3135
64015,Braives,3187,3204,6391
64021,Crisnée,1707,1758,3465
64023,Donceel,1569,1519,3088
64025,Fexhe-le-Haut-Clocher,1613,1603,3216
64029,Geer,1736,1742,3478
64034,Hannuit,8017,8668,16685
64047,Lijsem,1620,1660,3280
64056,Oerle,1884,2020,3904
64063,Remicourt,2894,3078,5972
64065,Saint-Georges-sur-Meuse,3418,3506,6924
64074,Borgworm,7355,8089,15444
64075,Wasseiges,1450,1519,2969
64076,Faimes,1959,1979,3938
70000,Provincie Limburg,436771,440599,877370
71000,Arrondissement Hasselt,208089,212223,420312
71002,As,4074,4162,8236
71004,Beringen,23357,23241,46598
71011,Diepenbeek,9547,9543,19090
71016,Genk,32799,33648,66447
71017,Gingelom,4219,4170,8389
71020,Halen,4732,4753,9485
71022,Hasselt,38542,40172,78714
71024,Herk-de-Stad,6257,6393,12650
71034,Leopoldsburg,7875,7975,15850
71037,Lummen,7568,7410,14978
71045,Nieuwerkerken (Hasselt),3433,3565,6998
71053,Sint-Truiden,20046,20626,40672
71057,Tessenderlo,9196,9531,18727
71066,Zonhoven,10517,10810,21327
71067,Zutendaal,3662,3620,7282
71069,Ham,5457,5520,10977
71070,Heusden-Zolder,16808,17084,33892
72000,Arrondissement Maaseik,126506,125609,252115
72003,Bocholt,6609,6535,13144
72004,Bree,8048,8121,16169
72018,Kinrooi,6168,6038,12206
72020,Lommel,17236,17009,34245
72021,Maaseik,12598,12712,25310
72030,Peer,8206,8092,16298
72037,Hamont-Achel,7256,7043,14299
72038,Hechtel-Eksel,6356,6154,12510
72039,Houthalen-Helchteren,15248,15302,30550
72041,Dilsen-Stokkem,10297,10396,20693
72042,Oudsbergen,11929,11686,23615
72043,Pelt,16555,16521,33076
73000,Arrondissement Tongeren,102176,102767,204943
73001,Alken,5803,5823,11626
73006,Bilzen,16078,16399,32477
73009,Borgloon,5510,5500,11010
73022,Heers,3668,3669,7337
73028,Herstappe,47,32,79
73032,Hoeselt,4833,4897,9730
73040,Kortessem,4228,4209,8437
73042,Lanaken,13013,12871,25884
73066,Riemst,8392,8367,16759
73083,Tongeren,15367,15775,31142
73098,Wellen,3687,3667,7354
73107,Maasmechelen,19457,19476,38933
73109,Voeren,2093,2082,4175
80000,Provincie Luxemburg,142710,144042,286752
81000,Arrondissement Aarlen,31389,31607,62996
81001,Aarlen,15000,15081,30081
81003,Attert,2820,2826,5646
81004,Aubange,8521,8625,17146
81013,Martelange,946,911,1857
81015,Messancy,4102,4164,8266
82000,Arrondissement Bastenaken,24505,24578,49083
82003,Bastenaken,8091,8185,16276
82005,Bertogne,1843,1813,3656
82009,Fauvillers,1149,1170,2319
82014,Houffalize,2626,2581,5207
82032,Vielsalm,3917,3969,7886
82036,Vaux-sur-Sûre,2846,2888,5734
82037,Gouvy,2722,2675,5397
82038,Sainte-Ode,1311,1297,2608
83000,Arrondissement Marche-en-Famenne,28337,28434,56771
83012,Durbuy,5673,5785,11458
83013,Erezée,1665,1602,3267
83028,Hotton,2794,2841,5635
83031,La Roche-en-Ardenne,2116,2076,4192
83034,Marche-en-Famenne,8679,8912,17591
83040,Nassogne,2854,2714,5568
83044,Rendeux,1340,1301,2641
83049,Tenneville,1400,1448,2848
83055,Manhay,1816,1755,3571
84000,Arrondissement Neufchâteau,31745,32018,63763
84009,Bertrix,4388,4456,8844
84010,Bouillon,2676,2751,5427
84016,Daverdisse,689,693,1382
84029,Herbeumont,853,796,1649
84033,Léglise,2859,2694,5553
84035,Libin,2618,2627,5245
84043,Neufchâteau (Neufchâteau),3893,3902,7795
84050,Paliseul,2687,2705,5392
84059,Saint-Hubert,2747,2858,5605
84068,Tellin,1211,1232,2443
84075,Wellin,1526,1582,3108
84077,Libramont-Chevigny,5598,5722,11320
85000,Arrondissement Virton,26734,27405,54139
85007,Chiny,2623,2603,5226
85009,Etalle,2988,2973,5961
85011,Florenville,2731,2863,5594
85024,Meix-devant-Virton,1376,1434,2810
85026,Musson,2291,2368,4659
85034,Saint-Léger (Virton),1793,1863,3656
85039,Tintigny,2149,2153,4302
85045,Virton,5537,5804,11341
85046,Habay,4205,4272,8477
85047,Rouvroy,1041,1072,2113
90000,Provincie Namen,243019,252813,495832
91000,Arrondissement Dinant,54892,56394,111286
91005,Anhée,3490,3653,7143
91013,Beauraing,4442,4715,9157
91015,Bièvre,1674,1688,3362
91030,Ciney,8014,8692,16706
91034,Dinant,6548,6826,13374
91054,Gedinne,2299,2353,4652
91059,Hamois,3654,3710,7364
91064,Havelange,2600,2637,5237
91072,Houyet,2452,2535,4987
91103,Onhaye,1633,1597,3230
91114,Rochefort,6181,6390,12571
91120,Somme-Leuze,2906,2893,5799
91141,Yvoir,4541,4568,9109
91142,Hastière,3129,2887,6016
91143,Vresse-sur-Semois,1329,1250,2579
92000,Arrondissement Namen,155471,162760,318231
92003,Andenne,13419,14154,27573
92006,Assesse,3558,3532,7090
92035,Eghezée,8049,8399,16448
92045,Floreffe,3979,4169,8148
92048,Fosses-la-Ville,5210,5259,10469
92054,Gesves,3595,3613,7208
92087,Mettet,6462,6691,13153
92094,Namen,53908,57524,111432
92097,Ohey,2575,2567,5142
92101,Profondeville,5987,6189,12176
92114,Sombreffe,4203,4277,8480
92137,Sambreville,13671,14701,28372
92138,Fernelmont,3995,4072,8067
92140,Jemeppe-sur-Sambre,9440,9660,19100
92141,La Bruyère,4486,4746,9232
92142,Gembloux,12934,13207,26141
93000,Arrondissement Philippeville,32656,33659,66315
93010,Cerfontaine,2488,2499,4987
93014,Couvin,6754,7084,13838
93018,Doische,1453,1517,2970
93022,Florennes,5556,5710,11266
93056,Philippeville,4567,4634,9201
93088,Walcourt,9052,9355,18407
93090,Viroinval,2786,2860,5646
